NOUN,VERB/PREP,NOUN
bowls,are,table
Two,bowls,table
Two,on,table
bowl,contains,number
number,of,gumballs
aluminum,walking,cane
tube,reach,bowl
sheet,of,paper
task,is,materials
task,use,materials
materials,provided,balls
bowl,leaving,seat
materials,transferr,balls
bowl,without,seat
balls,from,bowl
bowl,to,bowl
