NOUN,VERB/PREP,NOUN
Problem,Suppose,you
you,are_in,room
cords,hung_from,ceiling
you,reach,other
you,hold,cord
you,hand,you
cords,are_of,length
cord,in,you
task,is,ends
task,tie,ends
ends,of,cords
you,use,any
objects,listed,room
any,are,room
you,in,task
any,of,objects
objects,in,room
